CPU utilization: 250200%
Cores used: 10008
Cores available: 18446744073709541612

Running processes:
PID:1 a (06/27/2025 11:07:15.773497455AM)  Finished           6 / 6
PID:2 b (06/27/2025 11:07:36.247225933AM)  Core: 1            0 / 9
PID:2 b (06/27/2025 11:07:36.247225933AM)  Core: 1            0 / 9
PID:2 b (06/27/2025 11:07:36.247225933AM)  Core: 1            0 / 9
PID:2 b (06/27/2025 11:07:36.247225933AM)  Core: 1            0 / 9
PID:2 b (06/27/2025 11:07:36.247225933AM)  Core: 1            0 / 9
PID:2 b (06/27/2025 11:07:36.247225933AM)  Core: 1            0 / 9
PID:2 b (06/27/2025 11:07:36.247225933AM)  Core: 1            0 / 9
PID:2 b (06/27/2025 11:07:36.247225933AM)  Core: 1            0 / 9
PID:2 b (06/27/2025 11:07:36.247225933AM)  Core: 1            0 / 9
PID:2 b (06/27/2025 11:07:36.247225933AM)  Core: 1            0 / 9
PID:2 b (06/27/2025 11:07:36.247225933AM)  Core: 1            0 / 9
PID:2 b (06/27/2025 11:07:36.247225933AM)  Core: 1            0 / 9
PID:2 b (06/27/2025 11:07:36.247225933AM)  Core: 1            0 / 9
PID:2 b (06/27/2025 11:07:36.247225933AM)  Core: 1            0 / 9
PID:2 b (06/27/2025 11:07:36.247225933AM)  Core: 1            0 / 9
PID:2 b (06/27/2025 11:07:36.247225933AM)  Core: 1            0 / 9
PID:2 b (06/27/2025 11:07:36.247225933AM)  Core: 1            0 / 9
PID:2 b (06/27/2025 11:07:36.247225933AM)  Core: 1            0 / 9
PID:2 b (06/27/2025 11:07:36.247225933AM)  Core: 1            0 / 9
PID:2 b (06/27/2025 11:07:36.247225933AM)  Core: 1            0 / 9
PID:2 b (06/27/2025 11:07:36.247225933AM)  Core: 1            0 / 9
PID:2 b (06/27/2025 11:07:36.247225933AM)  Core: 1            0 / 9
PID:2 b (06/27/2025 11:07:36.247225933AM)  Core: 1            0 / 9
PID:2 b (06/27/2025 11:07:36.247225933AM)  Core: 1            0 / 9
PID:2 b (06/27/2025 11:07:36.247225933AM)  Core: 1            0 / 9
PID:2 b (06/27/2025 11:07:36.247225933AM)  Core: 1            0 / 9
PID:2 b (06/27/2025 11:07:36.247225933AM)  Core: 1            0 / 9
PID:2 b (06/27/2025 11:07:36.247225933AM)  Core: 1            0 / 9
PID:2 b (06/27/2025 11:07:36.247225933AM)  Core: 1            0 / 9
PID:2 b (06/27/2025 11:07:36.247225933AM)  Core: 1            0 / 9
PID:2 b (06/27/2025 11:07:36.247225933AM)  Core: 1            0 / 9
PID:2 b (06/27/2025 11:07:36.247225933AM)  Core: 1            0 / 9
PID:2 b (06/27/2025 11:07:36.247225933AM)  Core: 1            0 / 9
PID:2 b (06/27/2025 11:07:36.247225933AM)  Core: 1            0 / 9
PID:2 b (06/27/2025 11:07:36.247225933AM)  Core: 1            0 / 9
PID:2 b (06/27/2025 11:07:36.247225933AM)  Core: 1            0 / 9
